,0
1705,1244.5
1706,1250.560059
1707,1239.199951
1708,1246.0
1709,1272.869995
1710,1270.199951
1711,1280.189941
1712,1270.910034
1713,1274.079956
1714,1265.47998
1715,1267.339966
1716,1272.430054
1717,1258.599976
1718,1242.280029
1719,1236.199951
1720,1234.48999
1721,1236.859985
1722,1259.810059
1723,1249.130005
1724,1240.290039
1725,1260.910034
1726,1268.880005
1727,1268.400024
1728,1263.199951
1729,1278.550049
1730,1276.660034
1731,1270.920044
1732,1277.410034
1733,1280.27002
1734,1279.359985
1735,1275.77002
1736,1271.47998
1737,1265.949951
1738,1271.810059
1739,1266.73999
1740,1268.209961
1741,1285.579956
1742,1295.430054
1743,1297.47998
1744,1302.300049
1745,1297.52002
1746,1298.819946
1747,1292.98999
1748,1296.060059
1749,1295.089966
1750,1301.780029
1751,1304.280029
1752,1305.369995
1753,1303.819946
1754,1311.01001
1755,1313.25
1756,1300.26001
1757,1294.02002
1758,1298.920044
1759,1299.540039
1760,1313.0
1761,1318.069946
1762,1316.280029
1763,1319.660034
1764,1321.180054
1765,1317.640015
1766,1325.180054
1767,1318.030029
1768,1314.780029
1769,1326.369995
1770,1336.349976
1771,1336.589966
1772,1338.880005
1773,1335.849976
1774,1331.319946
1775,1334.109985
1776,1350.199951
1777,1353.219971
1778,1349.589966
1779,1350.660034
1780,1353.420044
1781,1349.949951
1782,1362.829956
1783,1365.619995
1784,1369.060059
1785,1364.050049
1786,1365.800049
1787,1366.959961
1788,1368.599976
1789,1377.02002
1790,1377.380005
1791,1382.219971
1792,1389.079956
1793,1377.339966
1794,1377.930054
1795,1377.939941
1796,1367.810059
1797,1367.339966
1798,1364.300049
1799,1379.780029
1800,1382.839966
1801,1385.719971
1802,1378.329956
1803,1380.900024
1804,1384.420044
1805,1393.219971
1806,1396.569946
1807,1399.76001
1808,1401.199951
1809,1400.5
1810,1402.810059
1811,1406.089966
1812,1400.949951
1813,1381.959961
1814,1386.719971
1815,1399.47998
1816,1400.630005
1817,1396.709961
1818,1409.119995
1819,1414.76001
1820,1412.900024
1821,1407.290039
1822,1409.839966
1823,1413.040039
1824,1411.560059
1825,1413.209961
1826,1425.48999
1827,1427.089966
1828,1422.47998
1829,1425.550049
1830,1423.530029
1831,1418.300049
1832,1410.76001
1833,1416.900024
1834,1426.839966
1835,1424.72998
1836,1418.300049
1837,1416.599976
1838,1418.339966
1839,1409.709961
1840,1412.839966
1841,1412.109985
1842,1414.849976
1843,1423.819946
1844,1430.72998
1845,1431.900024
1846,1430.619995
1847,1426.369995
1848,1430.5
1849,1422.949951
1850,1427.98999
1851,1440.130005
1852,1423.900024
1853,1422.180054
1854,1420.619995
1855,1428.819946
1856,1438.23999
1857,1445.939941
1858,1448.390015
1859,1446.98999
1860,1448.0
1861,1450.02002
1862,1448.310059
1863,1438.060059
1864,1433.369995
1865,1444.26001
1866,1455.300049
1867,1456.810059
1868,1455.540039
1869,1459.680054
1870,1457.630005
1871,1456.380005
1872,1451.189941
1873,1449.369995
1874,1399.040039
1875,1406.819946
1876,1403.170044
1877,1387.170044
1878,1374.119995
1879,1395.410034
1880,1391.969971
1881,1401.890015
1882,1402.839966
1883,1406.599976
1884,1377.949951
1885,1387.170044
1886,1392.280029
1887,1386.949951
1888,1402.060059
1889,1410.939941
1890,1435.040039
1891,1434.540039
1892,1436.109985
1893,1437.5
1894,1428.609985
1895,1417.22998
1896,1422.530029
1897,1420.859985
1898,1424.550049
1899,1437.77002
1900,1439.369995
1901,1443.76001
1902,1444.609985
1903,1448.390015
1904,1438.869995
1905,1447.800049
1906,1452.849976
1907,1468.329956
1908,1471.47998
1909,1472.5
1910,1470.72998
1911,1484.349976
1912,1480.930054
1913,1480.410034
1914,1495.420044
1915,1494.25
1916,1494.069946
1917,1482.369995
1918,1486.300049
1919,1495.920044
1920,1502.390015
1921,1505.619995
1922,1509.47998
1923,1507.719971
1924,1512.579956
1925,1491.469971
1926,1505.849976
1927,1503.150024
1928,1501.189941
1929,1514.140015
1930,1512.75
1931,1522.75
1932,1525.099976
1933,1524.119995
1934,1522.280029
1935,1507.51001
1936,1515.72998
1937,1518.109985
1938,1530.22998
1939,1530.619995
1940,1536.339966
1941,1539.180054
1942,1530.949951
1943,1517.380005
1944,1490.719971
1945,1507.670044
1946,1509.119995
1947,1493.0
1948,1515.670044
1949,1522.969971
1950,1532.910034
1951,1531.050049
1952,1533.699951
1953,1512.839966
1954,1522.189941
1955,1502.560059
1956,1497.73999
1957,1492.890015
1958,1506.339966
1959,1505.709961
1960,1503.349976
1961,1519.430054
1962,1524.869995
1963,1525.400024
1964,1530.439941
1965,1531.849976
1966,1510.119995
1967,1518.76001
1968,1547.699951
1969,1552.5
1970,1549.52002
1971,1549.369995
1972,1546.170044
1973,1553.079956
1974,1534.099976
1975,1541.569946
1976,1511.040039
1977,1518.089966
1978,1482.660034
1979,1458.949951
1980,1473.910034
1981,1455.27002
1982,1465.810059
1983,1472.199951
1984,1433.060059
1985,1467.670044
1986,1476.709961
1987,1497.48999
1988,1453.089966
1989,1453.640015
1990,1452.920044
1991,1426.540039
1992,1406.699951
1993,1411.27002
1994,1445.939941
1995,1445.550049
1996,1447.119995
1997,1464.069946
1998,1462.5
1999,1479.369995
2000,1466.790039
2001,1432.359985
2002,1463.76001
2003,1457.640015
2004,1473.98999
2005,1489.420044
2006,1472.290039
2007,1478.550049
2008,1453.550049
2009,1451.699951
2010,1471.48999
2011,1471.560059
2012,1483.949951
2013,1484.25
2014,1476.650024
2015,1519.780029
2016,1529.030029
2017,1518.75
2018,1525.75
2019,1517.72998
2020,1517.209961
2021,1525.420044
2022,1531.380005
2023,1526.75
2024,1547.040039
2025,1546.630005
2026,1539.589966
2027,1542.839966
2028,1557.589966
2029,1552.579956
2030,1565.150024
2031,1562.469971
2032,1554.410034
2033,1561.800049
2034,1548.709961
2035,1538.530029
2036,1541.23999
2037,1540.079956
2038,1500.630005
2039,1506.329956
2040,1519.589966
2041,1515.880005
2042,1514.400024
2043,1535.280029
2044,1540.97998
2045,1531.02002
2046,1549.380005
2047,1508.439941
2048,1509.650024
2049,1502.170044
2050,1520.27002
2051,1475.619995
2052,1474.77002
2053,1453.699951
2054,1439.180054
2055,1481.050049
2056,1470.579956
2057,1451.150024
2058,1458.73999
2059,1433.27002
2060,1439.699951
2061,1416.77002
2062,1440.699951
2063,1407.219971
2064,1428.22998
2065,1469.02002
2066,1469.719971
2067,1481.140015
2068,1472.420044
2069,1462.790039
2070,1485.01001
2071,1507.339966
2072,1504.660034
2073,1515.959961
2074,1477.650024
2075,1486.589966
2076,1488.410034
2077,1467.949951
2078,1445.900024
2079,1454.97998
2080,1453.0
2081,1460.119995
2082,1484.459961
2083,1496.449951
2084,1497.660034
2085,1476.27002
2086,1478.48999
2087,1468.359985
2088,1447.160034
2089,1447.160034
2090,1411.630005
2091,1416.180054
2092,1390.189941
2093,1409.130005
2094,1420.329956
2095,1401.02002
2096,1416.25
2097,1380.949951
2098,1373.199951
2099,1333.25
2100,1325.189941
2101,1310.5
2102,1338.599976
2103,1352.069946
2104,1330.609985
2105,1353.959961
2106,1362.300049
2107,1355.810059
2108,1378.550049
2109,1395.420044
2110,1380.819946
2111,1336.640015
2112,1326.449951
2113,1336.910034
2114,1331.290039
2115,1339.130005
2116,1348.859985
2117,1367.209961
2118,1348.859985
2119,1349.98999
2120,1348.780029
2121,1360.030029
2122,1342.530029
